address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,SWISSVALE,BOROUGH,Deneen Swartzwelder,MAYOR,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,Abigail Salisbury,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,Weldianne Scales,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,Christopher Ansell,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,David Petrarca,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,William Price,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,Michele Stanton,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,Shawn Alfonso Wells,MEMBER OF COUNCIL,,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
,AT-LARGE,,SWISSVALE,BOROUGH,"Thomas S. Barr, Jr.",TAX COLLECTOR,4123513342,,,http://www.swissvaleborough.com/government/elected%20-officials.aspx,False
