address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Betty Copeland,MAYOR,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Anne Marie Parisi Kean,TAX COLLECTOR,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Nicholas Ciesielski,MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Joseph Colosimo,MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Bruce Ghelarducci,MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,William Henderson,MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,"Nino Petrocelli, Sr.",MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Virginia Schneider,MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
,AT-LARGE,,BRIDGEVILLE,BOROUGH,Joseph Verduci,MEMBER OF COUNCIL,,,,https://bridgevilleboro.com/officials/,False
