address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Scott Dismukes,MAYOR,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Jason Brown,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Alan Cuteri,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Joseph Dawley,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Gregory Mihalko,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Jacquelyn Neunder,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,John Radcliffe,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Steven Stiller,MEMBER OF COUNCIL,,,,http://www.benavonheightsborough.com/borough/index.html,False
,AT-LARGE,,BEN AVON HEIGHTS,BOROUGH,Denise Raves,TAX COLLECTOR,,,,http://www.benavonheightsborough.com/community/community-faq.html,False
