address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,DISTRICT 4,,RICHLAND,TOWNSHIP,Raymond Kendrick,SUPERVISOR,,2023-12-31,,https://richland.pa.us/government-administration/officials-and-committees/,False
,DISTRICT 3,,RICHLAND,TOWNSHIP,George P. Allen,SUPERVISOR,,2023-12-31,,https://richland.pa.us/government-administration/officials-and-committees/,False
,DISTRICT 1,,RICHLAND,TOWNSHIP,John Marshall,SUPERVISOR,,2021-12-31,,https://richland.pa.us/government-administration/officials-and-committees/,False
,DISTRICT 2,,RICHLAND,TOWNSHIP,Barton Miller,SUPERVISOR,,2021-12-31,,https://richland.pa.us/government-administration/officials-and-committees/,False
,AT-LARGE,,RICHLAND,TOWNSHIP,Donna L. Snyder,SUPERVISOR,,2023-12-31,,https://richland.pa.us/government-administration/officials-and-committees/,False
