address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,HOMESTEAD,BOROUGH,Betty Esper,MAYOR,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,UNKNOWN,,HOMESTEAD,BOROUGH,Don Dais,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,WARD 3,,HOMESTEAD,BOROUGH,Drew Borcik,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,UNKNOWN,,HOMESTEAD,BOROUGH,Donald Dais,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,UNKNOWN,,HOMESTEAD,BOROUGH,Jou-Al Burwell,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,WARD 2,,HOMESTEAD,BOROUGH,Mary Nesby,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,WARD 2,,HOMESTEAD,BOROUGH,Minister Connie Burwell,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
,WARD 1,,HOMESTEAD,BOROUGH,Lloyd Cunningham,MEMBER OF COUNCIL,,,,http://www.homesteadborough.com/government/mayor_council/default.aspx,False
