address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Betty Ann Horvath,TAX COLLECTOR,,,,https://www.braddockhillspa.com/taxes.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Linda Yazvac,MEMBER OF COUNCIL,,,2018,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Michael Ursiny,MEMBER OF COUNCIL,,,2016,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Frances Kvorjak,MEMBER OF COUNCIL,,,2018,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Marguerite Bolton,MEMBER OF COUNCIL,,,,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Vincent Gambino,MEMBER OF COUNCIL,,,,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Cassandra Schaffer,MEMBER OF COUNCIL,,,2020,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Thomas Evans,MEMBER OF COUNCIL,,,,https://www.braddockhillspa.com/what-we-do.html,False
,AT-LARGE,,BRADDOCK HILLS,BOROUGH,Jack Brown,MAYOR,,,2013,https://www.braddockhillspa.com/what-we-do.html,False
