address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,BALDWIN,TOWNSHIP,Robert Downey,COMMISSIONER,,,,https://baldwintownship.com/officials.html,False
,AT-LARGE,,BALDWIN,TOWNSHIP,Eileen Frisoli,COMMISSIONER,,,,https://baldwintownship.com/officials.html,False
,AT-LARGE,,BALDWIN,TOWNSHIP,Josh Oswald,COMMISSIONER,,,,https://baldwintownship.com/officials.html,False
,AT-LARGE,,BALDWIN,TOWNSHIP,Nick Pellegrino,COMMISSIONER,,,,https://baldwintownship.com/officials.html,False
,AT-LARGE,,BALDWIN,TOWNSHIP,Tom Taylor,COMMISSIONER,,,,https://baldwintownship.com/officials.html,False
,AT-LARGE,,BALDWIN,TOWNSHIP,Judy Maffie,TAX COLLECTOR,,,,https://baldwintownship.com/officials.html,False
