address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,BRACKENRIDGE,BOROUGH,Thomas Kish,MAYOR,,,,http://brackenridgeboro.com/officials/,False
,WARD 1,,BRACKENRIDGE,BOROUGH,Timothy Connelly,MEMBER OF COUNCIL,,,,http://brackenridgeboro.com/officials/,False
,WARD 2,,BRACKENRIDGE,BOROUGH,John Stanzione,MEMBER OF COUNCIL,,,,http://brackenridgeboro.com/officials/,False
,WARD 2,,BRACKENRIDGE,BOROUGH,Timothy Kolar,MEMBER OF COUNCIL,,,,http://brackenridgeboro.com/officials/,False
,WARD 1,,BRACKENRIDGE,BOROUGH,Dino Lopreiato,MEMBER OF COUNCIL,,,,http://brackenridgeboro.com/officials/,False
,WARD 3,,BRACKENRIDGE,BOROUGH,Verne Petz,MEMBER OF COUNCIL,,,,http://brackenridgeboro.com/officials/,False
,WARD 3,,BRACKENRIDGE,BOROUGH,Randall Elliott,MEMBER OF COUNCIL,,,,http://brackenridgeboro.com/officials/,False
,AT-LARGE,,BRACKENRIDGE,BOROUGH,Melinda Cattley,TAX COLLECTOR,,,,http://brackenridgeboro.com/officials/,False
