address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,COLLIER,TOWNSHIP,Dawn Williams-Zabicki,COMMISSIONER,,,,https://www.colliertownship.net/242/Collier-Township-Officials,False
,AT-LARGE,,COLLIER,TOWNSHIP,Wayne Chiurazzi,COMMISSIONER,,,,https://www.colliertownship.net/242/Collier-Township-Officials,False
,AT-LARGE,,COLLIER,TOWNSHIP,Daniel Styche,COMMISSIONER,,,,https://www.colliertownship.net/242/Collier-Township-Officials,False
,AT-LARGE,,COLLIER,TOWNSHIP,Deb Zymroz,COMMISSIONER,,,,https://www.colliertownship.net/242/Collier-Township-Officials,False
,AT-LARGE,,COLLIER,TOWNSHIP,Richard Ruffennach,COMMISSIONER,,,,https://www.colliertownship.net/242/Collier-Township-Officials,False
,AT-LARGE,,COLLIER,TOWNSHIP,Mary Ann Cupples Wisniowski,TAX COLLECTOR,,,,https://www.colliertownship.net/242/Collier-Township-Officials,False
