address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Mark Heckmann,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Marian Randazzo,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Robert Astor,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Nancy Kovach,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Jason Maloney,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,William Oates,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Dan Swisher,MEMBER OF COUNCIL,,,,https://borough.castle-shannon.pa.us/resources/government-officials/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Eileen O'Malley,TAX COLLECTOR,4128859200p107,,,https://borough.castle-shannon.pa.us/administration/,False
,AT-LARGE,,CASTLE SHANNON,BOROUGH,Donald Baumgarten,MAYOR,4128859200p108,,,https://borough.castle-shannon.pa.us/administration/,False
